ID,vi,surfaceTension,radius,cTime,maxDeflection
5814,-0.2,27,0.995,3.8315,0.2152955984
242,-0.5,27,0.995,3.729875,0.5068493878
737,-0.8,27,0.995,3.704875,0.7959999824
1200,-1.1,27,0.995,3.6969375,1.0836416792
1646,-0.2,27,1.15,4.4985,0.2724835597
2131,-0.5,27,1.15,4.339875,0.6368417762
2653,-0.8,27,1.15,4.294875,0.996324354
3120,-1.1,27,1.15,4.2794375,1.3575417457
3619,-0.2,27,1.25,4.9165,0.3126106929
4113,-0.5,27,1.25,4.73575,0.7256429354
4510,-0.8,27,1.25,4.692875,1.1387574518
4935,-1.1,27,1.25,4.6669375,1.5481866499
5519,-0.2,27,1.35,5.4065,0.3550181959
123,-0.5,27,1.35,5.11475,0.8220293275
536,-0.8,27,1.35,5.054875,1.2836001131
1307,-1.1,27,1.35,5.0424375,1.7509531466
